2020-01-30/21:22:24		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:25		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:26		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:27		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:27		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:27		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:27		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:27		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:27		 wafer_13012020_090817.csv: File loaded successfully!!
2020-01-30/21:22:27		 wafer_13012020_090817.csv: File loaded successfully!!
