2020-01-30/21:21:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:21:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:21:30		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:21:31		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:21:31		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:21:32		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:21:32		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:21:33		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:21:33		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:23:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:23:38		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:23:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:23:39		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:23:40		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:23:40		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:23:41		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:23:42		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:23:43		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:24:42		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:24:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:24:43		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:24:43		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:24:44		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:24:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:24:45		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:24:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:24:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:26:02		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:26:02		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:26:02		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:26:03		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:26:04		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:26:04		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:26:05		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:26:06		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:26:06		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:27:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:27:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:27:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:27:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:27:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:27:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:27:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:27:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:27:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:28:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:28:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:28:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:28:45		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:28:46		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:28:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:28:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:28:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:28:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:30:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:30:08		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:30:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:30:08		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:30:09		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:30:09		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:30:10		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:30:11		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:30:11		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:30:58		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:30:58		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:30:59		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:30:59		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:31:00		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:31:00		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:31:01		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:31:02		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:31:02		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:32:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:32:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:32:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:32:15		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:32:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:32:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:32:16		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:32:17		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:32:17		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:33:32		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:33:33		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:33:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:33:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:33:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:33:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:33:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:33:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:33:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:34:51		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:34:51		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:34:52		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:34:52		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:34:53		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:34:53		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:34:54		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:34:55		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:34:55		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:36:10		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:36:11		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:36:11		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:36:12		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:36:12		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:36:13		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:36:14		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:36:14		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:36:15		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:37:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:37:03		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:37:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:37:04		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:37:05		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:37:05		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:37:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:37:07		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:37:07		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:38:25		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:38:26		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:38:26		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:38:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:38:27		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:38:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:38:28		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:38:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:38:29		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:39:49		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:39:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:39:49		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:39:50		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:39:50		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:39:51		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:39:52		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:39:52		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:39:53		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:41:13		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:41:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:41:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:41:15		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:41:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:41:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:41:16		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:41:17		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:41:17		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:42:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:42:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:42:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:42:07		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:42:08		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:42:08		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:42:09		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:42:10		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:42:10		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:43:32		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:43:32		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:43:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:43:33		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:43:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:43:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:43:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:43:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:43:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:45:00		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:45:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:45:00		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:45:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:45:01		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:45:02		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:45:02		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:45:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-01-30/21:45:03		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-01-30/21:46:27		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-01-30/21:46:28		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-01-30/21:46:28		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-01-30/21:46:28		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-01-30/21:46:29		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-01-30/21:46:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-01-30/21:46:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-01-30/21:46:31		 wafer_28042020_031911.csv: File Transformed successfully!!
